title,release_date,maturity_rating,genre,rating,directors,stars,votes
Half-Life 2,2004,M,['Action' ' Adventure' ' Sci-Fi'],9.4,['David Speyrer'],['Robert Guillaume' ' Robert Culp' ' Louis Gossett Jr.' ' Michelle Forbes'],16641
Silent Hill 2,2001,M,['Drama' ' Horror' ' Mystery'],9.4,['Takayuki Kobayashi' ' Masashi Tsuboyama'],['Guy Cihi' ' Monica Horgan' ' Donna Burke' ' David Schaufele'],6962
Metal Gear Solid 4: Guns of the Patriots,2008,M,['Action' ' Adventure' ' Drama'],9.4,['Hideo Kojima'],['David Hayter' ' Josh Keaton' ' Peter Lurie' ' Paul Eiding'],10799
Uncharted: The Nathan Drake Collection,2015,T,['Action' ' Adventure' ' Fantasy'],9.4,['Amy Hennig'],['Nolan North' ' Emily Rose' ' Richard McGonagle' ' Claudia Black'],5784
Half-Life: Alyx,2020,,['Action' ' Adventure' ' Horror'],9.4,,['Ozioma Akagha' ' James Moses Black' ' Rhys Darby' ' Tony Todd'],846
Bloodborne: The Old Hunters,2015,M,['Action' ' Adventure' ' Fantasy'],9.4,['Hidetaka Miyazaki'],['Evetta Muradasilova' ' Des McAleer' ' Grant Gillespie' ' Lotte Rice'],1748
Baldur's Gate II: Shadows of Amn,2000,T,['Action' ' Adventure' ' Fantasy'],9.4,['Feargus Urquhart'],['David Warner' ' Charlie Adler' ' Dee Bradley Baker' ' Michael Bell'],2142
Batman: Arkham Collection,2018,M,Adventure,9.4,['Sefton Hill'],,426
Planescape: Torment,1999,T,['Adventure' ' Drama' ' Fantasy'],9.4,,['Michael T. Weiss' ' Rob Paulsen' ' Jennifer Hale' ' Sheena Easton'],2076
Sudden Strike 2,2002,,['Action' ' War'],9.4,,,6
Bloodborne,2015,M,['Action' ' Adventure' ' Fantasy'],9.3,['Hidetaka Miyazaki'],['Daniel Fine' ' Joe Sims' ' William Vanderpuye' ' Andrew Tiernan'],6232
Persona 5,2016,M,['Action' ' Adventure' ' Comedy'],9.3,['Katsura Hashino'],['Jun Fukuyama' ' Mamoru Miyano' ' Nana Mizuki' ' Ikue Ôtani'],2995
Kingdom Hearts II,2005,E10+,['Action' ' Adventure' ' Family'],9.3,['Tetsuya Nomura'],"['Haley Joel Osment' ' David Gallagher' ' Hayden Panettiere'
 ' Jesse McCartney']",7302
P.T.,2014,Not Rated,['Horror' ' Mystery'],9.3,['Guillermo del Toro' ' Hideo Kojima'],['Norman Reedus'],1981
Uncharted: Legacy of Thieves Collection,2022,T,['Action' ' Adventure' ' Drama'],9.3,['Neil Druckmann' ' Kurt Margenau' ' Bruce Straley'],['Nolan North' ' Troy Baker' ' Richard McGonagle' ' Emily Rose'],567
Shadow of the Colossus,2005,T,['Action' ' Adventure' ' Drama'],9.3,['Fumito Ueda'],['Kenji Nojima' ' Kazuhiro Nakata' ' Kyôko Hikami' ' Naoki Bando'],4256
The Legend of Zelda: A Link to the Past,1991,E,['Action' ' Adventure' ' Fantasy'],9.3,['Takashi Tezuka' ' Hidemaro Fujibayashi'],['Fujiko Takimoto'],3553
Kingdom Hearts II: Final Mix+,2007,,['Action' ' Adventure' ' Family'],9.3,['Tetsuya Nomura'],"['Haley Joel Osment' ' David Gallagher' ' Hayden Panettiere'
 ' Jesse McCartney']",1311
The Secret of Monkey Island,1990,E,['Adventure' ' Comedy' ' Fantasy'],9.3,['Ron Gilbert' ' Hal Barwood'],['Dominic Armato' ' Earl Boen' ' Alexandra Boyd' ' Leilani Jones'],3196
Monkey Island 2: LeChuck's Revenge,1991,,['Adventure' ' Comedy' ' Fantasy'],9.3,['Ron Gilbert'],['Dominic Armato' ' Earl Boen' ' Alexandra Boyd' ' Leilani Jones'],2447
The Legend of Zelda: Ocarina of Time 3D,2011,E10+,['Action' ' Adventure' ' Family'],9.3,,['Fujiko Takimoto' ' Nobuyuki Hiyama' ' Jun Mizusawa' ' Takashi Nagasako'],1194
The Great Ace Attorney 2: Resolve,2017,T,,9.3,['Shu Takumi'],,123
Growlanser: Wayfarer of Time,2003,T,['Action' ' Adventure' ' Drama'],9.3,['Taiji Hida' ' Shinjirô Takata'],['Ryôko Nagata' ' Yuki Makishima' ' Masumi Asano' ' Shinpachi Tsuji'],78
Kingdom Hearts HD 1.5 + 2.5 Remix,2017,E10+,['Action' ' Adventure' ' Family'],9.3,['Tetsuya Nomura' ' Tai Yasue'],['Haley Joel Osment' ' Hayden Panettiere' ' David Gallagher' ' Billy Zane'],676
Growlanser VI: Precarious World,2007,,Adventure,9.3,['Taiji Hida' ' Shinjirô Takata'],,64
Touhou 4 Gensoukyou: Lotus Land Story,1998,,['Animation' ' Action' ' Fantasy'],9.3,['Zun'],,7
Grand Theft Auto: Vice City,2002,M,['Action' ' Crime' ' Drama'],9.2,,['Ray Liotta' ' William Fichtner' ' Tom Sizemore' ' Dennis Hopper'],27525
Ghost of Tsushima,2020,M,['Action' ' Adventure' ' Drama'],9.2,['Nate Fox'],['Daisuke Tsuji' ' Eric Steinberg' ' Sumalee Montano' ' Patrick Gallagher'],11166
Detroit: Become Human,2018,M,['Action' ' Adventure' ' Drama'],9.2,['David Cage'],['Valorie Curry' ' Bryan Dechart' ' Jesse Williams' ' Audrey Boustani'],19033
Spider-Man,2018,T,['Action' ' Adventure' ' Fantasy'],9.2,['Ryan Smith'],['Yuri Lowenthal' ' Tara Platt' ' Travis Willingham' ' William Salyers'],23943
Resident Evil 4,2005,M,['Action' ' Adventure' ' Fantasy'],9.2,['Kuniomi Matsushita' ' Shinji Mikami'],['Paul Mercier' ' Carolyn Lawrence' ' Rino Romano' ' Salli Saffioti'],13910
Batman: Arkham Asylum,2009,T,['Action' ' Adventure' ' Crime'],9.2,['Sefton Hill'],['Mark Hamill' ' Kevin Conroy' ' Arleen Sorkin' ' Tom Kane'],28937
The Walking Dead: A Telltale Game Series,2012,M,['Drama' ' Horror' ' Sci-Fi'],9.2,"['Sean Ainsworth' ' Nick Herman' ' Dennis Lenart' ' Eric Parsons'
 ' Jake Rodkin' ' Sean Vanaman']",['Dave Fennoy' ' Melissa Hutchison' ' Nick Herman' ' Chuck Kourouklis'],13547
God of War II,2007,M,['Action' ' Adventure' ' Fantasy'],9.2,['Cory Barlog'],"['Linda Hunt' "" Terrence 'T.C.' Carson"" ' Michael Clarke Duncan'
 ' Carole Ruggier']",9833
Kingdom Hearts,2002,E,['Action' ' Adventure' ' Family'],9.2,['Tetsuya Nomura'],['Miyu Irino' ' Mamoru Miyano' ' Risa Uchida' ' Kôichi Yamadera'],7516
Mafia: The City of Lost Heaven,2002,M,['Action' ' Crime' ' Drama'],9.2,['Daniel Vávra'],['Michael Sorvino' ' William DeMeo' ' George DiCenzo' ' Matt Servitto'],6106
Max Payne,2001,M,['Action' ' Crime' ' Drama'],9.2,,['James McCaffrey' ' Haviland Morris' ' Chris Phillips' ' Jane Gennaro'],15407
Half-Life,1998,M,['Action' ' Sci-Fi' ' Thriller'],9.2,['Randy Pitchford'],['Kathy Levin' ' Harry S. Robins' ' Mike Shapiro'],10556
Fallout: A Post-Nuclear Role-Playing Game,1997,M,['Action' ' Adventure' ' Sci-Fi'],9.2,['Feargus Urquhart'],['Charlie Adler' ' Richard Dean Anderson' ' Jeff Bennett' ' Clancy Brown'],3866
Batman: Return to Arkham,2016,T,['Action' ' Adventure' ' Crime'],9.2,['Sefton Hill'],['Mark Hamill' ' Kevin Conroy' ' Arleen Sorkin' ' Tom Kane'],2029
Grim Fandango,1998,T,['Adventure' ' Comedy' ' Crime'],9.2,['Tim Schafer'],['Tony Plana' ' Maria Canals-Barrera' ' Alan Blumenfeld' ' Pamela Adlon'],3619
Deus Ex,2000,M,['Action' ' Adventure' ' Drama'],9.2,['Warren Spector'],['Jay Anthony Franke' ' Brent Anderson' ' Ralph Barbagallo' ' Chad Bannon'],3288
Castlevania: Symphony of the Night,1997,T,['Action' ' Adventure' ' Fantasy'],9.2,['Toru Hagihara'],['Robert Belgrade' ' Ramsay Scott' ' Kimberly Forsythe' ' Michael Guinn'],1684
The Walking Dead: The Telltale Definitive Series,2019,M,['Drama' ' Horror' ' Thriller'],9.2,,['Dave Fennoy' ' Gavin Hammon' ' Melissa Hutchison' ' Mara Junot'],725
Disco Elysium - The Final Cut,2021,M,['Comedy' ' Crime' ' Drama'],9.2,,"['Lenval Brown' ' Mikee W. Goodman' ' Jullian Champenois'
 ' Tegen Hitchens']",521
Super Mario Bros. 3,1988,E,['Action' ' Adventure' ' Family'],9.2,['Shigeru Miyamoto' ' Takashi Tezuka'],,5448
StarCraft,1998,T,['Action' ' Adventure' ' Sci-Fi'],9.2,"['Matt Samia' ' Mark Schwarz' ' Duane Stinnett' ' Chris Metzen'
 ' Glenn Stafford']",['Glynnis Talken' ' Michael Gough' ' Paul Eiding' ' Lani Minella'],5318
Super Mario World,1990,E,['Animation' ' Action' ' Adventure'],9.2,['Takashi Tezuka'],,5074
Shin Megami Tensei: Persona 4,2008,M,['Action' ' Adventure' ' Comedy'],9.2,['Katsura Hashino' ' Jinya Kitsui' ' Susumu Nishizawa'],['Daisuke Namikawa' ' Shôtarô Morikubo' ' Yui Horie' ' Ami Koshimizu'],1185
Kingdom Hearts HD 2.5 Remix,2014,E10+,['Action' ' Adventure' ' Family'],9.2,['Tetsuya Nomura' ' Tai Yasue'],"['Haley Joel Osment' ' David Gallagher' ' Hayden Panettiere'
 ' Jesse McCartney']",884
Metal Gear Solid: Integral,1999,M,['Action' ' Adventure' ' Drama'],9.2,['Hideo Kojima'],['David Hayter' ' Cam Clarke' ' Debi Mae West' ' Jennifer Hale'],371
Mass Effect 3: Citadel,2013,M,['Action' ' Adventure' ' Drama'],9.2,['Casey Hudson'],,198
Valkyria Chronicles 3: Unrecorded Chronicles,2011,,['Action' ' Adventure' ' Drama'],9.2,['Takeshi Ozawa'],['Masumi Asano' ' Aya Endô' ' Tomohisa Hashizume' ' Hideo Ishikawa'],90
Knight Online,2002,,['Action' ' Adventure' ' Fantasy'],9.2,,,18
The Orange Box,2007,M,['Action' ' Adventure' ' Comedy'],9.2,,['Robert Guillaume' ' Robert Culp' ' Louis Gossett Jr.' ' Michelle Forbes'],759
X-COM: UFO Defense,1994,,['Action' ' Sci-Fi' ' Thriller'],9.2,['Julian Gollop'],,396
Monster Hunter 3,2009,T,['Action' ' Adventure' ' Fantasy'],9.2,['Kaname Fujioka'],,6
Tribes: Ascend,2012,,['Action' ' Sci-Fi'],9.2,,['Leah Clark' ' Bradford Jackson' ' Jamie Marchi' ' Chris Rager'],5
Hogwarts Legacy,2023,T,['Action' ' Adventure' ' Fantasy'],9.1,['Natalie Gray' ' Nathan Hendrickson' ' Alan Tew'],['Alastair Duncan' ' Amy Louise Pemberton' ' Asif Ali' ' Carla Tassara'],2854
Horizon Forbidden West,2022,T,['Action' ' Adventure' ' Sci-Fi'],9.1,['Mathijs de Jonge'],['Ashly Burch' ' John Macmillan' ' Lesley Ewen' ' Lance Reddick'],4407
BioShock Infinite,2013,M,['Action' ' Adventure' ' Drama'],9.1,['Ken Levine'],['Troy Baker' ' Courtnee Draper' ' Kiff VandenHeuvel' ' Laura Bailey'],20888
Peaky Blinders: The King's Ransom,2023,,['Action' ' Adventure' ' Crime'],9.1,['Russell Harding' ' Marcus Moresby'],['Cillian Murphy' ' Paul Anderson' ' Vivian Full' ' Naomi Yang'],15
Dead Space,2023,M,['Action' ' Horror' ' Mystery'],9.1,['Eric Baptizat'],['Gunner Wright' ' Tanya Clarke' ' Brigitte Kali Canales' ' Anthony Alabi'],783
Mass Effect,2007,M,['Action' ' Adventure' ' Drama'],9.1,['Casey Hudson'],['Steven Barr' ' Kimberly Brooks' ' Keith David' ' Seth Green'],18814
God of War,2005,M,['Action' ' Adventure' ' Fantasy'],9.1,['David Jaffe' ' Greg Tiernan'],"['Linda Hunt' "" Terrence 'T.C.' Carson"" ' Carole Ruggier' ' Steve Blum']",11009
BioShock,2007,M,['Action' ' Adventure' ' Horror'],9.1,['Ken Levine'],['John Ahlin' ' Greg Baldwin' ' Jane Beller' ' Susanne Blakeslee'],20551
Mass Effect 3,2012,M,['Action' ' Adventure' ' Drama'],9.1,['Casey Hudson'],['Jennifer Hale' ' Mark Meer' ' Kimberly Brooks' ' Raphael Sbarge'],16043
It Takes Two,2021,T,['Adventure' ' Comedy' ' Drama'],9.1,['Josef Fares'],['Joseph Balderrama' ' Annabelle Dowler' ' Clare Corbett' ' Stephen Greif'],2804
God of War III,2010,M,['Action' ' Adventure' ' Fantasy'],9.1,['Stig Asmussen'],['George Ball' ' Adrienne Barbeau' ' Susanne Blakeslee' ' Clancy Brown'],11495
Fallout 3,2008,M,['Action' ' Adventure' ' Sci-Fi'],9.1,['Todd Howard'],['Liam Neeson' ' Malcolm McDowell' ' Ron Perlman' ' Odette Annable'],19365
Final Fantasy X,2001,T,['Adventure' ' Fantasy' ' Romance'],9.1,['Yoshinori Kitase'],['James Arnold Taylor' ' Hedy Burress' ' John DiMaggio' ' Paula Tiso'],8219
Resident Evil 2,1998,M,['Action' ' Horror' ' Sci-Fi'],9.1,['Hideki Kamiya'],['Paul Haddad' ' Alyson Court' ' Sally Cahill' ' Lisa Jai'],6082
Dark Souls III,2016,M,['Action' ' Adventure' ' Fantasy'],9.1,['Hidetaka Miyazaki' ' Isamu Okano' ' Yui Tanimura'],['Pik Sen Lim' ' Olivia Mace' ' Roger Ringrose' ' Carolyn Pickles'],4971
Dragon Age: Origins,2009,M,['Action' ' Adventure' ' Fantasy'],9.1,['Dan Tudge'],['Steve Valentine' ' Peter Renaday' ' Kate Mulgrew' ' Tim Curry'],8160
Mob of the Dead,2013,,['Action' ' Horror' ' Thriller'],9.1,['Corky Lehmkuhl'],['Craig Houston' ' Ray Liotta' ' Michael Madsen' ' Nolan North'],924
Dark Souls,2011,M,['Action' ' Adventure' ' Fantasy'],9.1,['Hidetaka Miyazaki'],['Adam Sopp' ' Andy Gathergood' ' Blake Ritson' ' Charlie Cameron'],5336
Super Mario 64,1996,K-A,['Action' ' Adventure' ' Comedy'],9.1,['Shigeru Miyamoto'],['Charles Martinet' ' Leslie Swan' ' Jacob Assouline'],6455
Portal,2007,T,['Adventure' ' Comedy' ' Sci-Fi'],9.1,,['Ellen McLain' ' Mike Patton' ' Alesia Glidewell' ' Jeep Barnett'],13334
Persona 4 Golden,2012,M,['Action' ' Adventure' ' Comedy'],9.1,['Daiki Itô' ' Valerie Arem' ' Teppei Kobayashi' ' Atsushi Watanabe'],['Daisuke Namikawa' ' Shôtarô Morikubo' ' Yui Horie' ' Ami Koshimizu'],1557
Max Payne 2: The Fall of Max Payne,2003,M,['Action' ' Crime' ' Drama'],9.1,,['James McCaffrey' ' Wendy Hoopes' ' Jonathan Davis' ' Vince Viverito'],10951
Disco Elysium,2019,M,['Comedy' ' Crime' ' Drama'],9.1,,['Mikee W. Goodman' ' Jullian Champenois' ' Tariq Khan' ' Dasha Nekrasova'],973
GoldenEye 007,1997,T,['Action' ' Adventure' ' Thriller'],9.1,['Martin Hollis'],['Kevin Bayliss' ' Ken Lobb' ' Scott Hochberg'],5770
Super Mario Odyssey,2017,E10+,['Animation' ' Action' ' Adventure'],9.1,['Kenta Motokura'],['Kate Higgins' ' Nobuyuki Hiyama' ' Kenny James' ' Samantha Kelly'],4522
Super Mario Galaxy,2007,E,['Action' ' Adventure' ' Family'],9.1,['Yoshiaki Koizumi'],['Charles Martinet' ' Kenny James' ' Samantha Kelly' ' Mercedes Rose'],5608
Vampire: The Masquerade - Bloodlines,2004,M,['Action' ' Drama' ' Fantasy'],9.1,['Jason Anderson' ' Leonard Boyarsky'],"['André Sogliuzzo' ' Andy Milder' ' Armando Valdes-Kennedy'
 ' Courtenay Taylor']",1856
Omori,2020,M,['Adventure' ' Drama' ' Fantasy'],9.1,['Omocat'],,565
Super Metroid,1994,E,['Action' ' Adventure' ' Mystery'],9.1,['Yoshio Sakamoto'],['Kenji Yamamoto' ' Dan Owsen'],2186
Half-Life 2: Episode Two,2007,M,['Action' ' Adventure' ' Sci-Fi'],9.1,['David Speyrer'],['Robert Guillaume' ' Merle Dandridge' ' Tony Todd' ' John Aylward'],6430
Mother 3,2006,T,['Adventure' ' Comedy' ' Drama'],9.1,['Nobuyuki Inoue'],,496
Gabriel Knight: Sins of the Fathers,1993,T,['Adventure' ' Drama' ' Horror'],9.1,['Jane Jensen'],['Tim Curry' ' Mark Hamill' ' Leah Remini' ' Virginia Capers'],704
Final Fantasy VI,1994,T,['Action' ' Adventure' ' Drama'],9.1,['Hiroyuki Itô' ' Yoshinori Kitase'],,3361
The Curse of Monkey Island,1997,K-A,['Adventure' ' Comedy' ' Fantasy'],9.1,['Jonathan Ackley' ' Larry Ahern'],['Dominic Armato' ' Alexandra Boyd' ' Earl Boen' ' Denny Delk'],2748
Bioshock: The Collection,2016,M,['Action' ' Adventure' ' Horror'],9.1,['Ken Levine'],,538
Dark Souls: Artorias of the Abyss,2012,M,['Action' ' Adventure' ' Fantasy'],9.1,['Hidetaka Miyazaki'],,439
Gothic II,2002,M,['Action' ' Adventure' ' Fantasy'],9.1,,['Renier Baaken' ' Michael Deckner' ' Sabine Mièl Fischer' ' Dieter Gring'],795
Metal Gear Solid: HD Collection,2011,M,['Action' ' War'],9.1,['Hideo Kojima'],,85
Cookie Run: OvenBreak,2016,E,['Animation' ' Action' ' Adventure'],9.1,['Amber Lee Connors'],['Kim Yool' ' A.J. Beckles' ' Seong-Hoon Jeong'],87
Astro Bot: Rescue Mission,2018,E10+,Sci-Fi,9.1,['Nicolas Doucet'],,222
